"geonameid","group","NamE","longitude","latitude"
"2243951",2,"YorO SankoulE",-1496967.98945279,1548205.81554773
"2243953",2,"YorO PeuL",-1735022.04985033,1717374.53146497
"2243955",2,"YorodondekoundA",-1556345.24090816,1519574.930612
"2243958",2,"YonoferE",-1571459.75610783,1706231.81700607
"2243968",2,"YokoulenE",-1757958.40927281,1791275.31544406
"2243977",2,"YeumbeuL",-1888058.76603225,1659812.4306049
"2243979",2,"YerwayE",-1770382.35437461,1765546.54721408
"2243980",2,"YervagO",-1783458.42322609,1571225.95456965
"2243982",2,"YeronguetO",-1360413.6888889,1383108.26854589
"2243983",2,"YerodoyE",-1467446.66432221,1558801.48237534
"2243986",2,"YerI MalE TorobE",-1399024.36211653,1680738.70609873
"2243987",2,"YerI MalE FoulabE",-1397851.46545511,1681756.69371792
"2243989",2,"YerA DioulA",-1711189.00995286,1476140.49341616
"2243991",2,"YenE TodE",-1870795.90182526,1644342.68529972
"2243993",2,"YenE KaW",-1867962.67912319,1642587.11062702
"2243994",2,"YendounanE",-1823309.47558807,1684487.53264028
"2243996",2,"YemguekE",-1788227.54408049,1623713.06297858
"2243997",2,"YembakanA",-1826190.56885307,1394304.51771015
"2243998",2,"YelingarA",-1362235.80544172,1674120.96243891
"2243999",2,"YelimalO",-1311164.24628915,1513372.39131902
"2244007",2,"YayakoundA",-1738658.95921638,1426221.55553487
"2244009",2,"YavorodjI",-1408078.83211722,1616826.39725038
"2244011",2,"YatI RhayE",-1605989.26378003,1595195.5068067
"2244012",2,"YassinE MandinA",-1723105.78532753,1430846.1879489
"2244013",2,"YassinE LakE",-1379255.38695638,1677890.62608568
"2244017",2,"YassagnE",-1759763.38948082,1791324.01969772
"2244018",2,"YarimalO",-1358125.34172724,1588649.11728223
"2244019",2,"YarI GouyE",-1729364.71137424,1639102.5820578
"2244020",2,"YarI DakhaR",-1756941.06769565,1776285.57708425
"2244021",2,"YargouyE",-1728868.97625069,1611057.62438074
"2244024",2,"YaR DakaR",-1735878.29064277,1754513.58837215
"2244029",2,"YaoualdE SinntioU",-1554025.79275603,1760583.20882899
"2244031",2,"YaoualdE",-1554716.2491017,1759737.92339672
"2244032",2,"YanG YanG",-1665364.92366078,1744939.27952165
"2244034",2,"YamoussA",-1342996.07213607,1385264.39119089
"2244036",2,"YamatoyenE",-1833775.77002133,1409935.46829815
"2244037",2,"YamanE SeK",-1764715.5747718,1771786.74129477
"2244043",2,"DioloL YalalbE",-1464575.39722503,1768933.15970408
"2244045",2,"YaK SaO",-1698442.61714903,1640231.36970314
"2244047",2,"YagoubeL",-1542830.11130357,1833915.30906194
"2244050",2,"YafA RoubA",-1653410.24125581,1506652.91712616
"2244051",2,"YadoU LayE",-1751619.27539791,1774273.1260054
"2244054",2,"YadE PeuL",-1766822.31205449,1790081.68996391
"2244055",2,"YaboyabO",-1815630.14161919,1620653.55234968
"2244056",2,"YatbiL DioP",-1756829.9235151,1735964.53285692
"2244066",7,"WassadougoU",-1457281.77597333,1489734.71678419
"2244067",2,"WassadoU",-1660083.79815061,1432138.4369309
"2244068",2,"WassadoU",-1550865.59250042,1424426.35498491
"2244069",7,"WassadoU",-1324729.11845355,1418661.24195579
"2244072",2,"WaoumanE",-1705356.11535442,1608636.887837
"2244076",2,"WalI DialA",-1357241.56012175,1616493.76591029
"2244077",2,"WalidialA",-1357187.75956104,1379020.12947083
"2244078",2,"WallaN KindI",-1318248.28376662,1384556.47451904
"2244079",2,"Wak-NgounA",-1753927.18703565,1540618.83422623
"2244080",7,"WakelibougoU",-1512957.40952903,1511266.53555802
"2244081",2,"WakelarE TabadiaN",-1470976.44610675,1463926.38602801
"2244086",2,"VouropanA",-1651279.93529074,1514072.32177623
"2244090",2,"VinsakO",-1673379.59683209,1414424.87283795
"2244096",2,"VinndediabI",-1434480.6379063,1612137.31283565
"2244097",2,"VendoU BokI",-1684034.22474385,1778247.05653134
"2244098",2,"VindE DjoumA",-1699020.13419475,1707914.93231491
