"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code"
1808792,"Hatan Us","Hatan Us","Ha-t'eng-wu-su,Ha-t’eng-wu-su,Hatan Us",39.91667,105.66667,"P","PPL"
1808938,"Hanggin Qi","Hanggin Qi","Hang-chin Ch'i,Hang-chin Ch’i,Hanggin,Hanggin Banner,Hanggin Qi,Hangjin,Hangjin Qi,hang jin,hang jin qi,杭锦,杭锦旗",40.04628,108.55413,"A","ADM3"
1808990,"Halawu","Halawu","",38.83333,105.86667,"P","PPL"
1808994,"Haizita","Haizita","",39.96667,111.16667,"P","PPL"
1809106,"Haidai","Haidai","",38.73333,107.88333,"P","PPL"
1809372,"Gun Qarag","Gun Qarag","Gun Qarag,Gun Qirag,Kung-ch'ia-han,Kung-ch’ia-han",39.84306,107.65528,"P","PPL"
1809374,"Gun Hudag","Gun Hudag","Gun Hudag,Kung-hu-tung",39.41694,102.77389,"P","PPL"
1809375,"Gun Hudag","Gun Hudag","",38.78333,105.38333,"P","PPL"
1809376,"Gun Hudag","Gun Hudag","",38.46667,105.61667,"P","PPL"
1811631,"Erzihao","Erzihao","",39.98333,110,"P","PPL"
1811707,"Erdaohu","Erdaohu","Erdaohu,Erh-tao-hu",38.06667,104.83333,"P","PPL"
1811712,"Erdaochuan","Erdaochuan","",37.93333,107.55,"P","PPL"
1811740,"Ejin Horo Qi","Ejin Horo Qi","Ejin Horo,Ejin Horo Qi,I-chin-huo-lo Ch'i,I-chin-huo-lo Ch’i,Yijinhuoluo,Yijinhuoluo Qi,yi jin huo luo,yi jin huo luo qi,伊金霍洛,伊金霍洛旗",39.55159,109.74919,"A","ADM3"
1811745,"Ehen Hudag","Ehen Hudag","Ehen Hudag,O-hen-hu-tu-ko",39.63333,104.06667,"P","PPL"
1811746,"Ehen Hudag","Ehen Hudag","A-la-shan-yu-ch'i,A-la-shan-yu-ch’i,Alashanyou Qi,Alxa Youqi,Ehen Hudag,Ekenhu Duge Zhen,O-k'en-hu-tu-ko,O-k’en-hu-tu-ko,a la shan you qi,e ken hu dou ge,e ken hu dou ge zhen,阿拉善右旗,额肯呼都格,额肯呼都格镇",39.21074,101.66898,"P","PPLA3"
1811778,"Dustin He","Dustin He","Dustin Gol,Dustin He,Tu-ssu-t'u Ho,Tu-ssu-t’u Ho",39.09278,106.87972,"H","STM"
1811799,"Du’erji","Du'erji","Du'erji,Durelj,Durelji,Du’erji,Tu-jih-le-chi",39.92028,104.98111,"P","PPL"
1811802,"Duqingshan","Duqingshan","Duqingshan,Tu-ch'ing-shan,Tu-ch’ing-shan",39.2,102.65,"P","PPL"
1811911,"Dugui Qirag","Dugui Qirag","Dugui Qarag,Dugui Qirag,Tu-kuei-chia-han",39.61167,108.81861,"P","PPL"
1811914,"Dugarin Tohoi","Dugarin Tohoi","",38.16667,108.9,"P","PPL"
1812255,"Dongsheng Qu","Dongsheng Qu","Dongsheng,Dongsheng Qu,Dongsheng Shi,Dongsheng Xian,Tung-sheng Hsien,dong sheng,dong sheng qu,东胜,东胜区",39.82306,110.00538,"A","ADM3"
1812256,"Dongsheng","Dongsheng","DSN,Dongsheng,Dongsheng Qu,Dunshen,Tung-sheng,Tung-sheng-hsien,dong sheng,dong sheng qu,东胜,东胜区",39.81609,109.97763,"P","PPL"
